Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 32768, 1, 8, 512, 2.29369, 9.97471, N/A, 0.72895, 0.684048, 17.5295, 1.48477, 2, 2, 1, 1, 8, 2, 24.3951, 2, 2, 0.5, 1, 1, 1, 72.1199, 
90, 65536, 1, 8, 512, 2.42581, 10.0942, N/A, 0.759647, 0.73921, 32.3806, 1.86797, 2, 2, 1, 1, 8, 2, 38.7524, 2, 2, 0.5, 1, 1, 1, 77.1744, 
90, 131072, 1, 8, 512, 2.65835, 10.2732, N/A, 0.825942, 0.794309, 61.7041, 2.72061, 2, 2, 1, 1, 8, 2, 54.9431, 2, 2, 1, 1, 2, 1, 78.5053, 
90, 1048576, 1, 8, 512, 3.95873, 4.46208, N/A, 1.44415, 1.95264, 480.968, 16.678, 4, 2, 1, 1, 8, 1, 75.2264, 2, 2, 2, 1, 4, 1, 86.3618, 
90, 2097152, 1, 8, 512, 4.97438, 4.46208, N/A, 1.9145, 2.31717, 954.832, 36.9919, 4, 4, 1, 1, 8, 1, 73.3508, 2, 4, 4, 1, 8, 1, 85.4733, 
90, 4194304, 1, 8, 512, 6.60913, 4.46208, N/A, 2.72672, 3.13959, 1906.29, 88.2912, 4, 8, 1, 1, 8, 1, 69.7831, 4, 4, 8, 1, 8, 1, 85.2439, 
90, 8388608, 1, 8, 512, 8.85425, 11.6122, N/A, 4.23015, 4.29639, 3707.03, 140.276, 4, 8, 2, 2, 8, 1, 76.4582, 4, 4, 8, 1, 16, 1, 87.5589, 
90, 16777216, 1, 8, 512, 12.1903, 5.67871, N/A, 5.66127, 6.57792, 7573.7, 313.615, 8, 8, 2, 1, 8, 1, 78.8958, 8, 8, 16, 1, 32, 1, 83.803, 
90, 33554432, 1, 8, 512, 16.0888, 12.8301, N/A, 8.28546, 8.19367, 14792.7, 514.15, 8, 8, 4, 2, 8, 1, 83.2262, 8, 32, 16, 1, 8, 1, 80.5739, 
90, 67108864, 1, 8, 512, 22.0822, 12.8301, N/A, 11.2214, 11.1942, 29659.1, 1031.45, 8, 16, 4, 2, 8, 1, 82.8468, 16, 32, 16, 1, 4, 1, 80.0405, 
90, 134217728, 1, 8, 512, 30.5195, 12.8301, N/A, 16.015, 16.3611, 59085.4, 2005.16, 16, 16, 8, 2, 8, 1, 84.8986, 32, 32, 32, 1, 32, 1, 79.8855, 
